Gene_Locus	OMIM Gene	Gene Effect	Variant(s)	Lethality Mode of Function	Coordinates (hg19)	Disease	OMIM Phenotype	Inheritance	System Affected	Prenatal Phenotypes	Fetal Sex	Human Evidence	PMID	1st trimester	2nd trimester	3rd trimester	Postnatal lethality
name: MBD4; id: 8930;	603574	Unknown	CNV,SNV	Undetermined	"{""id"":""chr3"",""data"":""129,430,947-129,439,948""}"	Tumor predisposition; Uveal melanoma, susceptibility	606660; 619975	AD,AR		Spontaneous miscarriage	unknown	Candidate	37398382	x	x		
name: MBTPS2; id: 51360;	300294	Fetal	SNV	Undetermined	"{""id"":""chrX"",""data"":""21,857,735-21,903,541""}"	IFAP syndrome with or without BRESHECK syndrome, 308205 (3), X-linked recessive, Keratosis follicularis spinulosa decalvans, X-linked, 308800 (3), X-linked recessive	308205	XLR	MULTIPLE >3	Oligohydramnios, Prenatal fractures	M	Known	30993004; 9021007; 10398262				x
name: MCCC2; id: 64087;	609014	Fetal	CNV,SNV	Undetermined	"{""id"":""chr5"",""data"":""70,883,167-70,954,533""}"	3-Methylcrotonyl-CoA carboxylase 2 deficiency	210210	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	1293382; 15877210; 22642865				x
name: MDFIC ; id: 29969;	614511	Fetal	CNV,SNV	Undetermined	"{""id"":""chr7"",""data"":""114562208_114659970""}"				IMMUNOLOGIC	Hydrops fetalis, Generalized edema, Pericardial effusion, Pleural effusion, Ascites . Prenatal and Neonatal demise.	M,F	Emerging	36658419			x	
name: MDH2; id: 4191;	154100	Fetal	SNV		"{""id"":""chr7"",""data"":""75,677,424-75,696,826""}"	Epileptic encephalopathy, early infantile, 51, 617339 (3), Autosomal recessive	617339	AR	NEUROLOGIC		M,F	Known	30993004; 27989324				x
name: MECOM; id: 2122;	165215	Fetal	CNV,SNV	LoF	"{""id"":""chr3"",""data"":""168801286_169381563""}"	Radioulnar Synostosis with Amegakaryocytic Thrombocytopenia 2 (RUSAT-2)	616738	AD	CARDIOVASCULAR	hydrops, congenital heart disease, bilateral radioulnar synostosis. Prenatal and Neonatal demise.	M,F	Known	37160698; 37239770	x	x	x	
name: MECP2; id: 4204;	300005	Fetal	SNV	LoF	"{""id"":""chrX"",""data"":""153287023_153363221""}"	Rett syndrome	312750	XLD	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Known	35722368		x	x	
name: MED12; id: 9968;	300188	Maternal,Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""70,338,446-70,362,300""}"	Lujan-Fryns syndrome, Ohdo syndrome, Opitz-Kaveggia syndrome	305450	XLR	MULTIPLE >3	joint contractures, club feet, heart defect	M,F	Known	30993004; 26298726; 39702865; 38777622;  37501721; 1255317		x	x	x
name: MED16; id: 10025;	604062	Unknown	CNV,SNV	Undetermined	"{""id"":""chr19"",""data"":""867,963-893,187""}"	Guillouet-Gordon syndrome	621220	AR		Spontaneous miscarriage	unknown	Candidate	37398382				x
name: MEI1; id: 150365;	608797	Maternal	SNV	Undetermined	"{""id"":""chr22"",""data"":""42,095,507-42,195,458""} "	Hydatidiform mole, recurrent	618431	AR	REPRODUCTIVE	Hydatidiform Mole	M,F	Known	30388401	x			
name: MIB1; id: 57534;	608677	Fetal	SNV	Undetermined	"{""id"":""chr18"",""data"":""19284917_19450918""}"	Left ventricular noncompaction 7	615092	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	32786180		x	x	
name: MIPEP; id: 4285;	602241	Fetal	SNV		"{""id"":""chr13"",""data"":""24,304,328-24,463,539""}"	Combined oxidative phosphorylation deficiency 31, 617228 (3), Autosomal recessive	617228	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 27799064			x	x
name: MKKS; id: 8195;	604896	Fetal	CNV,SNV	LoF	"{""id"":""chr20"",""data"":""10,381,657-10,414,870""}"	Bardet-Biedl syndrome 6, 605231 (3), Autosomal recessive, McKusick-Kaufman syndrome, 236700 (3), Autosomal recessive	605231	AR	MULTIPLE >3		M,F	Known	30993004; 10973238				x
name: MKS1; id: 54903;	609883	Maternal,Fetal	SNV	Undetermined	"{""id"":""chr17"",""data"":""56282796_56296966""}"	Meckel syndrome 1, 249000 (3), Autosomal recessive	249000	AR	MULTIPLE >3	microcephaly, agenesis of corpus callosum, occipital encephalocele, multicystic kidney, hypotonia, IUFR. Prenatal and Neonatal demise.	M,F	Known	34406647			x	x
name: MLYCD; id: 23417;	606761	Fetal	CNV,SNV	LoF	"{""id"":""chr16"",""data"":""83,932,720-83,960,636""}"	Malonyl-CoA decarboxylase deficiency, 248360 (3), Autosomal recessive	248360	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 6145813; 31395333				x
name: MMAB; id: 326625;	607568	Maternal,Fetal	SNV	Undetermined	"{""id"":""chr12"",""data"":""109991519_110011679""}"	Methylmalonic aciduria, vitamin B12-responsive, cblB type	251110	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Emerging	34406647		x	x	
name: MMACHC; id: 25974;	609831	Fetal	CNV,SNV	LoF	"{""id"":""chr1"",""data"":""45965724_45979054""}"	Methylmalonic aciduria and homocystinuria, cblC type	277400	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Emerging	34645488	x			
name: MMP10; id: 4319;	185260	Fetal	SNV	Undetermined	"{""id"":""chr11"",""data"":""102641232_102651359""}"					Prenatal and Neonatal demise.	M,F	Emerging	31273585		x	x	
name: MMUT; id: 4594;	609058	Fetal	SNV	Undetermined	"{""id"":""chr6"",""data"":""49398072_49430966""}"	Methylmalonic aciduria, mut(0) type	251000	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: MMUT; id: 4594;	609058	Fetal	SNV	Undetermined	"{""id"":""chr6"",""data"":""49,398,073-49,431,041""}"	Methylmalonic aciduria, mut(0) type, 251000 (3), Autosomal recessive	251000	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 6132336; 7681251; 7913714				x
name: MNX1; id: 3110;	142994	Fetal	SNV	Undetermined	"{""id"":""chr7"",""data"":""156786744_156803357""}"	Currarino syndrome	176450	AD	MULTIPLE >3	IUGR, cleft palate, anal imperforation, scrotal agenesis, agenesis of the lumbar and sacral spine and spinal cord. Prenatal and Neonatal demise.	M,F	Emerging	29261186		x	x	
name: MOCS1; id: 4337;	603707	Fetal	SNV		"{""id"":""chr6"",""data"":""39,871,946-39,902,201""}"	Molybdenum cofactor deficiency A, 252150 (3), Autosomal recessive	252150	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 10746556; 22040219; 3215199; 8355818; 25764214				x
name: MOCS2; id: 4338;	603708	Fetal	CNV,SNV	LoF	"{""id"":""chr5"",""data"":""52,391,509-52,405,587""}"	Molybdenum cofactor deficiency B, 252160 (3), Autosomal recessive	252160	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 10053004; 16737835				x
name: MOCS3; id: 27304;	609277	Fetal	SNV	Undetermined	"{""id"":""chr20"",""data"":""49575354_49580468""}"					Nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	28749478		x	x	
name: MPC1; id: 51660;	614738	Fetal	SNV		"{""id"":""chr6"",""data"":""166,778,407-166,796,428""}"	Mitochondrial pyruvate carrier deficiency, 614741 (3), Autosomal recessive	614741	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 12649063				x
name: MPDU1; id: 9526;	604041	Fetal	SNV		"{""id"":""chr17"",""data"":""7,486,965-7,491,530""}"	Congenital disorder of glycosylation, type If, 609180 (3), Autosomal recessive	609180	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 11733564				x
name: MPDZ; id: 8777;	603785	Fetal	SNV	Undetermined	"{""id"":""chr9"",""data"":""13105702_13279712""}"	Hydrocephalus, nonsyndromic, autosomal recessive 2	615219	AR	NEUROLOGIC	Oligohydramnios, dolichocephaly, macrocephaly, widely patent fontanelles and sutures.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: MPI; id: 4351;	154550	Fetal	SNV		"{""id"":""chr15"",""data"":""75,182,383-75,194,560""}"	Congenital disorder of glycosylation, type Ib, 602579 (3), Autosomal recessive	602579	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 9585601; 3080572; 9525984				x
name: MPV17; id: 4358;	137960	Fetal	SNV		"{""id"":""chr2"",""data"":""27,532,360-27,545,964""}"	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type), 256810 (3), Autosomal recessive	256810	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 16582910; 18695062				x
name: MRAP; id: 56246;	609196	Maternal,Fetal	CNV,SNV	Undetermined	"{""id"":""chr21"",""data"":""33664123_33687095""}"	Glucocorticoid deficiency 2	607398	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Emerging	34406647		x	x	
name: MRPS16; id: 51021;	609204	Fetal	SNV	Undetermined	"{""id"":""chr10"",""data"":""75006509_75012451""}"	Combined oxidative phosphorylation deficiency 2	610498	AR	MULTIPLE >3	Nonimmune hydrops fetalis, strawberry shaped head, partial agenesis of the corpus callosum, hypoplastic cerebellum, cystic hygroma, pleural effusion, very short long bones, and ascites.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: MRPS22; id: 56945;	605810	Fetal	SNV		"{""id"":""chr3"",""data"":""139,062,836-139,075,982""}"	Combined oxidative phosphorylation deficiency 5, 611719 (3), Autosomal recessive	611719	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 17873122				x
name: MRPS34; id: 65993;	611994	Fetal	SNV		"{""id"":""chr16"",""data"":""1,821,896-1,823,135""}"	Combined oxidative phosphorylation deficiency 32, 617664 (3), Autosomal recessive	617664	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 28777931				x
name: MS4A7; id: 58475;	606502	Fetal	SNV	Undetermined	"{""id"":""chr11"",""data"":""60145954_60163426""}"					Prenatal and Neonatal demise.	M,F	Emerging	28749478		x	x	
name: MST1R; id: 4486;	600168	Unknown	CNV,SNV	Undetermined	"{""id"":""chr3"",""data"":""49,887,002-49,903,873""}"	{Nasopharyngeal carcinoma, susceptibility to, 3}	617075	AD		Spontaneous miscarriage	unknown	Candidate	37398382		x		
name: MTHFR; id: 4524;	607093	Maternal,Fetal	CNV,SNV	Undetermined	"{""id"":""chr1"",""data"":""11,785,723-11,805,964""}"	Neural tube defects, Homocystinuria, Thromboembolism	601634; 236250	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	25024447; 31435309		x	x	x
name: MTM1; id: 4534;	300415	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""149,737,071-149,841,616""}"	Myotubular myopathy, X-linked, 310400 (3), X-linked recessive	310400	XLR	METABOLIC	Prenatal and Neonatal demise.	M	Known	30993004; 10790201; 5816884; 7326611; 21488203				x
name: MTO1; id: 25821;	614667	Fetal	CNV,SNV	LoF	"{""id"":""chr6"",""data"":""74,171,460-74,218,959""}"	Combined oxidative phosphorylation deficiency 10, 614702 (3), Autosomal recessive	614702	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 22608499; 23929671				x
name: MTOR; id: 2475;	601231	Fetal	SNV		"{""id"":""chr1"",""data"":""11,166,592-11,322,608""}"	Smith-Kingsmore syndrome, 616638 (3), Autosomal dominant	616638	AD	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 25848831		x		
name: MTR; id: 4548;	156570	Unknown	CNV,SNV	Undetermined	"{""id"":""chr1"",""data"":""236,795,281-236,903,981""}"	Homocystinuria-megaloblastic anemia; Neural tube defects	601634; 250940	AR	HEMATOPOETIC	Spontaneous miscarriage	unknown	Candidate	37398382	x	x		
name: MUSK; id: 4593;	601296	Fetal	SNV	Undetermined	"{""id"":""chr9"",""data"":""113431050_113568838""}"	fetal akinesia deformation sequence	208150	AR	MULTIPLE >3	micrognathia, pulmonary hypoplasia, joint contractures, Nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Known	25537362				x
name: MYBPC3; id: 4607;	600958	Fetal	SNV	Undetermined	"{""id"":""chr11"",""data"":""47352956_47374253""}"	Cardiomyopathy, hypertrophic, 4	115197	AD	CARDIOVASCULAR	Nonimmune hydrops fetalis\n. Prenatal and Neonatal demise.	M,F	Known	34645488		x	x	
name: MYBPHL; id: 343263;	619807	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""109834986_109849663""}"					Nonimmune hydrops fetalis, CHD. Prenatal and Neonatal demise.	M,F	Emerging	28749478		x	x	
name: MYH11; id: 4629;	160745	Fetal	SNV	Undetermined	"{""id"":""chr16"",""data"":""15796991_15950890""}"	Aortic aneurysm, familial thoracic 4	132900	AD	MULTIPLE >3	Hydrops fetalis fetus with echogenic kidney and bilateral hydronephrosis.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: MYH3; id: 4621;	160720	Fetal	SNV	Undetermined	"{""id"":""chr17"",""data"":""10531842_10560626""}"	Arthrogryposis, distal, type 2A (Freeman-Sheldon)	193700	AD	NEUROMUSCULAR	nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	33027564; 16642020		x	x	x
name: MYH6; id: 4624;	160710	Fetal	SNV	Undetermined	"{""id"":""chr14"",""data"":""23851190_23877486""}"	sudden infant death syndrome	272120	AR	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	32789579	x	x	x	x
name: MYH7; id: 4625;	160760	Fetal	SNV	Undetermined	"{""id"":""chr14"",""data"":""23881946_23904927""}"	left ventricular noncompaction	613426	AD	CARDIOVASCULAR	cardiomegaly, heart failure; Hydrops. Prenatal and Neonatal demise.	M,F	Known	33309763	x	x	x	
name: MYLK2; id: 85366;	606566	Fetal	SNV		"{""id"":""chr20"",""data"":""30,407,159-30,422,487""}"	Cardiomyopathy, hypertrophic, 1, digenic, 192600 (3), Autosomal dominant	192600	AD	CARDIOVASCULAR		M,F	Known	30993004;  4278818; 12968091				x
name: MYO18A; id: 399687;	609517	Unknown	CNV,SNV	Undetermined	"{""id"":""chr17"",""data"":""29,071,122-29,212,727""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: MYO18B; id: 84700;	607295	Fetal	SNV		"{""id"":""chr22"",""data"":""26,138,155-26,427,011""}"	Klippel-Feil syndrome 4, autosomal recessive, with myopathy and facial dysmorphism, 616549 (3), Autosomal recessive	616549	AR	MULTIPLE >3		M,F	Known	30993004; 27858739; 25748484				x
name: MYO5B; id: 4645;	606540	Fetal	CNV,SNV	LoF	"{""id"":""chr18"",""data"":""47,349,159-47,721,517""}"	Microvillus inclusion disease, 251850 (3), Autosomal recessive	251850	AR	GASTROINTESTINAL		M,F	Known	30993004; 2537465; 1355534; 9323563				x
name: MYO6; id: 4646;	600970	Fetal	SNV	Undetermined	"{""id"":""chr6"",""data"":""76458908_76629254""}"	Hypertrophic cardiomyopathy	606346	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	33762593		x	x	
name: MYOD1; id: 4654;	159970	Fetal	CNV,SNV	Undetermined	"{""id"":""chr11"",""data"":""17741114_17743683""}"	Congenital myopathy 17	618975	AR	NEUROMUSCULAR	cystic hygroma, polyhydramnios, dysmorphic features, lung hypoplasia. Prenatal and Neonatal demise.	M,F	Emerging	26733463		x	x	
name: MYOM1; id: 8736;	603508	Fetal	SNV	Undetermined	"{""id"":""chr18"",""data"":""3066804_3220106""}"	hypertrophic cardiomyopathy			CARDIOVASCULAR	Intrauterine fetal death	M,F	Candidate	33762593		x	x	
name: MYPN; id: 84665;	608517	Fetal	SNV	Undetermined	"{""id"":""chr10"",""data"":""69865763_69971774""}"	dilated cardiomyopathy	612877	AR	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	33762593		x	x	
name: MYRF; id: 745;	608329	Fetal	CNV,SNV	Undetermined	"{""id"":""chr11"",""data"":""61520107_61555990""}"	Cardiac-urogenital syndrome	618280	AD	CARDIOVASCULAR	nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	33027564		x	x	x
name: MYT1L; id: 23040;	613084	Fetal	SNV	Undetermined	"{""id"":""chr2"",""data"":""1792884_2335150""}"	Intellectual developmental disorder, AD 39	616521	AD	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Emerging	32786180		x	x	
name: N6AMT1; id: 29104;	614553	Unknown	CNV,SNV	Undetermined	"{""id"":""chr21"",""data"":""28,575,598-28,885,367""}"					Spontaneous miscarriage	unknown	Candidate	37398382	x			
name: NAA10; id: 8260;	300013	Fetal	SNV	Undetermined	"{""id"":""chrX"",""data"":""153194677_153200676""}"	Ogden syndrome	300855	XLR	MULTIPLE >3	rhizomelic shortening of extremities, hepatomegaly, ventriculomegaly, heart failure, severely depressed left ventricular function, biventricular hypertrophy, and biatrial enlargement. Prenatal and Neonatal demise.	M	Known	34075687		x	x	
name: NABP2; id: 79035;	612104	Unknown	CNV,SNV	Undetermined	"{""id"":""chr12"",""data"":""56,618,126-56,623,638""}"					Spontaneous miscarriage	unknown	Candidate	37398382			x	x
name: NADK; id: 65220;	611616	Unknown	CNV,SNV	Undetermined	"{""id"":""chr1"",""data"":""1,682,671-1,711,470""}"					Spontaneous miscarriage	unknown	Candidate	37398382	x			
name: NALCN ; id: 259232;	611549	Fetal	SNV	Undetermined	"{""id"":""chr13"",""data"":""101706127_102068859""}"	Congenital contractures of the limbs and face, hypotonia, and developmental delay	616266	AD,AR	MUSCULAR, NEUROLOGIC	Neck pterygia, Arthrogryposis multiplex congenita, Bilateral talipes equinovarus, Hand clenching, Finger clinodactyly. Prenatal and Neonatal demise.	M,F	Emerging	36658419; 27214504		x	x	x
name: NDUFAF5; id: 79133;	612360	Fetal	CNV,SNV	Undetermined	"{""id"":""chr20"",""data"":""13,765,674-13,802,226""}"	Mitochondrial complex I deficiency, nuclear type 16	252010	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	10393702		x	x	
name: NDUFB11; id: 54539;	300403	Fetal	SNV	Undetermined	"{""id"":""chrX"",""data"":""47001614_47004903""}"	Microphthalmia with linear skin defects (MLS)	300952	XLD	SKIN	Prenatal and Neonatal demise.	M,F	Known	36675256		x	x	
name: NDUFV1; id: 4723;	161015	Fetal	CNV,SNV	Undetermined	"{""id"":""chr11"",""data"":""67,374,407-67,380,025""}"	Mitochondrial complex I deficiency, nuclear type 4	252010	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	10393702		x	x	
name: NDUFV2; id: 4729;	600532	Fetal	SNV	Undetermined	"{""id"":""chr18"",""data"":""9102627_9134343""}"	hypertrophic cardiomyopathy	192600	AD,AR	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	33762593		x	x	
name: NEB; id: 4703;	161650	Fetal	SNV	Undetermined	"{""id"":""chr2"",""data"":""152341849_152591001""}"	Nemaline myopathy 2, autosomal recessive, 256030 (3), Autosomal recessive	256030	AR	METABOLIC	Hydrops, decreased fetal movements. Prenatal and Neonatal demise.	M,F	Known	26036949				x
name: NEBL; id: 10529;	605491	Fetal	CNV,SNV	LoF	"{""id"":""chr10"",""data"":""21068901_21463116""}"	dilated cardiomyopathy	612877	AR	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	33762593		x	x	
name: NEFL; id: 4747;	162280	Fetal	CNV,SNV	Undetermined	"{""id"":""chr8"",""data"":""24808467_24814624""}"	Charcot-Marie-Tooth disease, dominant intermediate G	617882	AD	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Emerging	33100332		x	x	
name: NEU1; id: 4758;	608272	Fetal	SNV, CNV		"{""id"":""chr6"",""data"":""31,825,436-31,830,598""}"	Sialidosis	256550	AR	MULTIPLE >3	hydrops fetalis, hepatomegaly, fetal anemia	M,F	Known	30993004; 32742167; 34421504; 11702224 			x	x
name: NEXN; id: 91624;	613121	Fetal	CNV,SNV	Undetermined	"{""id"":""chr1"",""data"":""78354197_78409580""}"	Cardiomyopathy, dilated, 1CC	613122	AD	CARDIOVASCULAR	nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	33027564			x	x
name: NLRP2; id: 55655;	609364	Maternal	CNV,SNV	Undetermined	"{""id"":""chr19"",""data"":""55464497_55512510""}"	Embryo maturation arrest 	620332	AR	REPRODUCTIVE	Embryo arrest	M,F	Known	31273585	x			
name: NLRP5; id: 126206;	609658	Maternal	SNV	Undetermined	"{""id"":""chr19"",""data"":""56511091_56573179""}"	Embryo maturation arrest 	620333	AR	REPRODUCTIVE	Embryo arrest	M,F	Known	31273585	x			
name: NLRP7; id: 199713;	609661	Maternal	CNV,SNV	LoF	"{""id"":""chr19"",""data"":""55434876_55477680""}"	Hydatidiform mole, recurrent, 1	231090	AR	REPRODUCTIVE	Embryo arrest	M,F	Known	23125094	x			
name: NOP14; id: 8602;	611526	Fetal	SNV	Undetermined	"{""id"":""chr4"",""data"":""2939659_2965133""}"				REPRODUCTIVE	Prenatal and Neonatal demise.	M,F	Emerging	31273585		x	x	
name: NPC1; id: 4864;	607623	Fetal	SNV	Undetermined	"{""id"":""chr18"",""data"":""21086147_21166862""}"	Niemann-Pick disease type C	257220	AR	METABOLIC	nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	33027564			x	x
name: NPC2; id: 10577;	601015	Fetal	CNV,SNV	Undetermined	"{""id"":""chr14"",""data"":""74,479,935-74,493,512""}"	Niemann-pick disease, type C2	607625	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	23597521; 28951965			x	x
name: NPHP3; id: 27031;	608002	Fetal	SNV	Undetermined	"{""id"":""chr3"",""data"":""132276985_132441303""}"	Meckel syndrome 7, 267010 (3), Autosomal recessive, Nephronophthisis 3, 604387 (3), Autosomal recessive, Renal-hepatic-pancreatic dysplasia 1, 208540 (3), Autosomal recessive	267010; 604387; 208000	AR	GENITOURINARY	Lethal polycystic kidney disease.. Prenatal and Neonatal demise.	M,F	Known	34645488		x	x	
name: NPHS1; id: 4868;	602716	Fetal	CNV,SNV	LoF	"{""id"":""chr19"",""data"":""36316273_36360189""}"	Nephrotic syndrome, type 1	256300	AR	GENITOURINARY	Hydrops. Prenatal and Neonatal demise.	M,F	Known	33100332		x	x	
name: NRP1; id: 8829;	602069	Fetal	SNV	Undetermined	"{""id"":""chr10"",""data"":""33466418_33625190""}"				MULTIPLE >3	Dysmorphic features consisting of short neck posterior web, low set ears, hypertelorism, long philtrum, cryptorchidism and micropenis, clenched hands, wide spaced nipples, complex cardiac disorders, ECHO revealed complex congenital heart disease, truncus arteriosus type I, severe ventricle septal defect and truncal stenosis.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: NSDHL; id: 50814;	300275	Fetal	SNV	LoF	"{""id"":""chrX"",""data"":""151999510_152038273""}"	Congenital hemidysplasia with ichthyosiform erythroderma and limb defects (CHILD) syndrome	308050	XLD	SKIN	Prenatal and Neonatal demise.	M,F	Known	36504312		x	x	
name: NUP214; id: 8021;	114350	Unknown	CNV,SNV	Undetermined	"{""id"":""chr9"",""data"":""131,125,586-131,234,663""}"	Encephalopathy, acute, infection-induced, susceptibility to, 9	618426	AR	NEUROLOGIC	Spontaneous miscarriage	unknown	Candidate	37398382			x	x
name: NUP62; id: 23636;	605815	Fetal	SNV		"{""id"":""chr19"",""data"":""50,410,082-50,432,761""}"	Striatonigral degeneration, infantile, 271930 (3), Autosomal recessive	271930	AR	NEUROLOGIC		M,F	Known	30993004; 1614467; 16786527				x
name: OBSCN; id: 84033;	608616	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""228395744_228566577""}"	dilated cardiomyopathy	612877	AR	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Known	33762593		x	x	
name: OCLN; id: 100506658;	602876	Fetal	CNV,SNV	LoF	"{""id"":""chr5"",""data"":""68,788,374-68,853,931""}"	Pseudo-TORCH syndrome 1, 251290 (3), Autosomal recessive	251290	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 3757300; 9112011; 18925673				x
name: OFD1; id: 8481;	300170	Fetal	SNV	Undetermined	"{""id"":""chrX"",""data"":""13752831_13787480""}"	Oral-facial-digital type 1 (OFD1)	311200	XLD	FACIAL DYSMORPHISM	omphalocele, bilateral cleft lip and palate. Neonatal Death	M,F	Known	26147564; 22548400		x		
name: ORAI1; id: 84876;	610277	Fetal	SNV		"{""id"":""chr12"",""data"":""122,064,455-122,079,946""}"	Immunodeficiency	612782	AR	IMMUNOLOGIC	Neonatal Death. 	M,F	Known	30993004; 8814256; 7798233;  7531512				x
name: OSGEP; id: 55644;	610107	Fetal	SNV		"{""id"":""chr14"",""data"":""20,914,560-20,922,971""}"	Galloway-Mowat syndrome 3, 617729 (3), Autosomal recessive	617729	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 28805828; 18019379; 28805828				x
name: OSTM1; id: 28962;	607649	Fetal	CNV,SNV	LoF	"{""id"":""chr6"",""data"":""108,362,613-108,395,945""}"	Osteopetrosis, autosomal recessive 5, 259720 (3), Autosomal recessive	259720	AR	SKELETAL		M,F	Known	30993004; 12627228; 15177004; 15108279				x
name: OTC; id: 5009;	300461	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""38,211,857-38,280,699""}"	Ornithine transcarbamylase deficiency, 311250 (3), X-linked recessive	311250	XLR	METABOLIC	Prenatal and Neonatal demise.	M	Known	30993004; 3080051;  1720458; 2012137				x
name: OTUD5; id: 55593;	300713	Fetal	SNV	Undetermined	"{""id"":""chrX"",""data"":""48779300_48815648""}"	X-linked multiple congenital anomalies-neurodevelopmental syndrome	301056	XLR	MULTIPLE >3	macrocephaly, hypospadias, hypotonia, hydrocephalus, absent septum pellucidum, congenital heart defects, died from cardiorespiratory arrest. Prenatal and Neonatal demise.	M,F	Emerging	33131077		x	x	
name: OTULIN; id: 90268;	615712	Fetal	SNV		"{""id"":""chr5"",""data"":""14,664,827-14,699,959""}"	Autoinflammation, panniculitis, and dermatosis syndrome, 617099 (3), Autosomal recessive	617099	AR	IMMUNOLOGIC		M,F	Known	30993004; 27523608; 30796585				x
name: OXCT1; id: 5019;	601424	Fetal	CNV,SNV	LoF	"{""id"":""chr5"",""data"":""41,730,167-41,870,527""}"	Succinyl CoA:3-oxoacid CoA transferase deficiency, 245050 (3)	245050	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 4258782				x
name: P3H1; id: 64175;	610339	Fetal	CNV,SNV	Undetermined	"{""id"":""chr1"",""data"":""43,212,045-43,232,699""}"	Osteogenesis imperfecta, type VIII	610915	AR	SKELETAL	Prenatal and Neonatal demise.	M,F	Known	17277775; 19846465; 18566967; 20946018		x	x	x
name: PABPC1L; id: 80336;	621055	Maternal	SNV	Undetermined	"{""id"":""chr20"",""data"":""43538700_43587676""}"	Oocyte/zygote/embryo maturation arrest 22	621093	AR		Prenatal and Neonatal demise.	M,F	Emerging	32172300		x	x	
name: PADI6; id: 353238;	610363	Maternal	SNV	Undetermined	"{""id"":""chr1"",""data"":""17698690_17728195""}"	embryo maturation arrest	617234	AR	REPRODUCTIVE	Embryo arrest	M,F	Emerging	29693651	x	x		
name: PAFAH1B1; id: 5048;	601545	Fetal	SNV	Undetermined	"{""id"":""chr17"",""data"":""2496503_2588909""}"	Lissencephaly 1	607432	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	31865891			x	x
